date,borrower_name,monthly_revenue_k,monthly_ebitda_k,ebitda_margin_pct,dscr_ttm,leverage_ratio,current_ratio,revolver_utilization_pct,days_past_due,loan_balance_mm,covenant_dscr_min,covenant_leverage_max,covenant_status,notes
2024-01,Meridian Fabrication LLC,7100,994,14.0,1.45,3.2,1.8,38,0,8.3,1.20,4.0,Compliant,
2024-02,Meridian Fabrication LLC,6950,972,14.0,1.43,3.3,1.8,41,0,8.3,1.20,4.0,Compliant,
2024-03,Meridian Fabrication LLC,7400,1010,13.6,1.41,3.3,1.7,36,0,8.2,1.20,4.0,Compliant,Q1 covenant package submitted on time
2024-04,Meridian Fabrication LLC,7200,972,13.5,1.38,3.5,1.7,44,0,8.2,1.20,4.0,Compliant,Automotive sector orders down 8% YoY per client call
2024-05,Meridian Fabrication LLC,7100,946,13.3,1.36,3.5,1.7,47,0,8.2,1.20,4.0,Compliant,
2024-06,Meridian Fabrication LLC,7000,924,13.2,1.33,3.6,1.6,51,0,8.1,1.20,4.0,Compliant,Q2 covenant package submitted — 12 days late
2024-07,Meridian Fabrication LLC,6800,884,13.0,1.28,3.7,1.6,55,0,8.1,1.20,4.0,Compliant,Aerospace contract delayed to Q4; noted in RM call notes
2024-08,Meridian Fabrication LLC,6700,862,12.9,1.24,3.7,1.5,58,0,8.0,1.20,4.0,Compliant,
2024-09,Meridian Fabrication LLC,6850,878,12.8,1.21,3.8,1.5,52,0,8.0,1.20,4.0,Compliant,Q3 covenant package submitted. Annual review completed.
2024-10,Meridian Fabrication LLC,6600,838,12.7,1.18,3.9,1.5,60,0,7.9,1.20,4.0,Covenant Watch,DSCR below minimum — RM notified; waiver discussion initiated
2024-11,Meridian Fabrication LLC,6400,806,12.6,1.14,4.0,1.4,65,0,7.9,1.20,4.0,Covenant Breach,Leverage at covenant max; DSCR below min; waiver granted 11/22
2024-12,Meridian Fabrication LLC,6200,760,12.3,1.10,4.1,1.4,69,0,7.8,1.20,4.0,Covenant Breach,Q4 covenant package not yet received as of 12/31
2025-01,Meridian Fabrication LLC,6000,720,12.0,1.08,4.2,1.3,72,0,7.8,1.20,4.0,Covenant Breach,Q4 package received 1/18 — 18 days late; CFO email re: outlook
2025-02,Meridian Fabrication LLC,5900,695,11.8,1.06,4.3,1.3,75,0,7.7,1.20,4.0,Covenant Breach,
2025-03,Meridian Fabrication LLC,5800,667,11.5,1.05,4.3,1.3,78,0,7.7,1.20,4.0,Covenant Breach,Q1 2025 covenant package due 4/30
2025-04,Meridian Fabrication LLC,5700,636,11.2,1.04,4.4,1.2,81,0,7.6,1.20,4.0,Covenant Breach,No client contact in 47 days per CRM
2025-05,Meridian Fabrication LLC,5600,605,10.8,1.03,4.5,1.2,85,0,7.6,1.20,4.0,Covenant Breach,Revolver at 85%; Q1 package overdue as of 5/1
